ID,Label,Reign,Year of Reign,Start Date,End Date
Geo3/8,8 Geo. 3,Geo3,8,1767-10-25,1768-10-24
Geo3/9,9 Geo. 3,Geo3,9,1768-10-25,1769-10-24
Geo4/1,1 Geo. 4,Geo4,1,1820-01-29,1821-01-28
Geo4/10,10 Geo. 4,Geo4,10,1829-01-29,1830-01-28
Geo4/11,11 Geo. 4,Geo4,11,1830-01-29,1830-06-26
Geo4/2,2 Geo. 4,Geo4,2,1821-01-29,1822-01-28
Geo4/3,3 Geo. 4,Geo4,3,1822-01-29,1823-01-28
Geo4/4,4 Geo. 4,Geo4,4,1823-01-29,1824-01-28
Geo4/5,5 Geo. 4,Geo4,5,1824-01-29,1825-01-28
Geo4/6,6 Geo. 4,Geo4,6,1825-01-29,1826-01-28
Geo4/7,7 Geo. 4,Geo4,7,1826-01-29,1827-01-28
Geo4/8,8 Geo. 4,Geo4,8,1827-01-29,1828-01-28
Geo4/9,9 Geo. 4,Geo4,9,1828-01-29,1829-01-28
Geo5/1,1 Geo. 5,Geo5,1,1910-05-06,1911-05-05
Geo5/10,10 Geo. 5,Geo5,10,1919-05-06,1920-05-05
Geo5/11,11 Geo. 5,Geo5,11,1920-05-06,1921-05-05
Geo5/12,12 Geo. 5,Geo5,12,1921-05-06,1922-05-05
Geo5/13,13 Geo. 5,Geo5,13,1922-05-06,1923-05-05
Geo5/14,14 Geo. 5,Geo5,14,1923-05-06,1924-05-05
Geo5/15,15 Geo. 5,Geo5,15,1924-05-06,1925-05-05
Geo5/16,16 Geo. 5,Geo5,16,1925-05-06,1926-05-05
Geo5/17,17 Geo. 5,Geo5,17,1926-05-06,1927-05-05
Geo5/18,18 Geo. 5,Geo5,18,1927-05-06,1928-05-05
Geo5/19,19 Geo. 5,Geo5,19,1928-05-06,1929-05-05
Geo5/2,2 Geo. 5,Geo5,2,1911-05-06,1912-05-05
Geo5/20,20 Geo. 5,Geo5,20,1929-05-06,1930-05-05
Geo5/21,21 Geo. 5,Geo5,21,1930-05-06,1931-05-05
Geo5/22,22 Geo. 5,Geo5,22,1931-05-06,1932-05-05
Geo5/23,23 Geo. 5,Geo5,23,1932-05-06,1933-05-05
Geo5/24,24 Geo. 5,Geo5,24,1933-05-06,1934-05-05
Geo5/25,25 Geo. 5,Geo5,25,1934-05-06,1935-05-05
Geo5/26,26 Geo. 5,Geo5,26,1935-05-06,1936-01-20
Geo5/3,3 Geo. 5,Geo5,3,1912-05-06,1913-05-05
Geo5/4,4 Geo. 5,Geo5,4,1913-05-06,1914-05-05
Geo5/5,5 Geo. 5,Geo5,5,1914-05-06,1915-05-05
Geo5/6,6 Geo. 5,Geo5,6,1915-05-06,1916-05-05
Geo5/7,7 Geo. 5,Geo5,7,1916-05-06,1917-05-05
Geo5/8,8 Geo. 5,Geo5,8,1917-05-06,1918-05-05
Geo5/9,9 Geo. 5,Geo5,9,1918-05-06,1919-05-05
Geo6/1,1 Geo. 6,Geo6,1,1936-12-11,1937-12-10
Geo6/10,10 Geo. 6,Geo6,10,1945-12-11,1946-12-10
Geo6/11,11 Geo. 6,Geo6,11,1946-12-11,1947-12-10
Geo6/12,12 Geo. 6,Geo6,12,1947-12-11,1948-12-10
Geo6/13,13 Geo. 6,Geo6,13,1948-12-11,1949-12-10
Geo6/14,14 Geo. 6,Geo6,14,1949-12-11,1950-12-10
Geo6/15,15 Geo. 6,Geo6,15,1950-12-11,1951-12-10
Geo6/16,16 Geo. 6,Geo6,16,1951-12-11,1952-02-05
Geo6/2,2 Geo. 6,Geo6,2,1937-12-11,1938-12-10
Geo6/3,3 Geo. 6,Geo6,3,1938-12-11,1939-12-10
Geo6/4,4 Geo. 6,Geo6,4,1939-12-11,1940-12-10
Geo6/5,5 Geo. 6,Geo6,5,1940-12-11,1941-12-10
Geo6/6,6 Geo. 6,Geo6,6,1941-12-11,1942-12-10
Geo6/7,7 Geo. 6,Geo6,7,1942-12-11,1943-12-10
Geo6/8,8 Geo. 6,Geo6,8,1943-12-11,1944-12-10
Geo6/9,9 Geo. 6,Geo6,9,1944-12-11,1945-12-10
Hen3/1,1 Hen. 3,Hen3,1,1216-10-28,1217-10-27
Hen3/10,10 Hen. 3,Hen3,10,1225-10-28,1226-10-27
Hen3/11,11 Hen. 3,Hen3,11,1226-10-28,1227-10-27
Hen3/12,12 Hen. 3,Hen3,12,1227-10-28,1228-10-27
Hen3/13,13 Hen. 3,Hen3,13,1228-10-28,1229-10-27
Hen3/14,14 Hen. 3,Hen3,14,1229-10-28,1230-10-27
Hen3/15,15 Hen. 3,Hen3,15,1230-10-28,1231-10-27
Hen3/16,16 Hen. 3,Hen3,16,1231-10-28,1232-10-27
Hen3/17,17 Hen. 3,Hen3,17,1232-10-28,1233-10-27
Hen3/18,18 Hen. 3,Hen3,18,1233-10-28,1234-10-27
Hen3/19,19 Hen. 3,Hen3,19,1234-10-28,1235-10-27
Hen3/2,2 Hen. 3,Hen3,2,1217-10-28,1218-10-27
Hen3/20,20 Hen. 3,Hen3,20,1235-10-28,1236-10-27
Hen3/21,21 Hen. 3,Hen3,21,1236-10-28,1237-10-27
Hen3/22,22 Hen. 3,Hen3,22,1237-10-28,1238-10-27
Hen3/23,23 Hen. 3,Hen3,23,1238-10-28,1239-10-27
Hen3/24,24 Hen. 3,Hen3,24,1239-10-28,1240-10-27
Hen3/25,25 Hen. 3,Hen3,25,1240-10-28,1241-10-27
Hen3/26,26 Hen. 3,Hen3,26,1241-10-28,1242-10-27
Hen3/27,27 Hen. 3,Hen3,27,1242-10-28,1243-10-27
Hen3/28,28 Hen. 3,Hen3,28,1243-10-28,1244-10-27
Hen3/29,29 Hen. 3,Hen3,29,1244-10-28,1245-10-27
Hen3/3,3 Hen. 3,Hen3,3,1218-10-28,1219-10-27
Hen3/30,30 Hen. 3,Hen3,30,1245-10-28,1246-10-27
Hen3/31,31 Hen. 3,Hen3,31,1246-10-28,1247-10-27
Hen3/32,32 Hen. 3,Hen3,32,1247-10-28,1248-10-27
Hen3/33,33 Hen. 3,Hen3,33,1248-10-28,1249-10-27
Hen3/34,34 Hen. 3,Hen3,34,1249-10-28,1250-10-27
Hen3/35,35 Hen. 3,Hen3,35,1250-10-28,1251-10-27
Hen3/36,36 Hen. 3,Hen3,36,1251-10-28,1252-10-27
Hen3/37,37 Hen. 3,Hen3,37,1252-10-28,1253-10-27
Hen3/38,38 Hen. 3,Hen3,38,1253-10-28,1254-10-27
Hen3/39,39 Hen. 3,Hen3,39,1254-10-28,1255-10-27
Hen3/4,4 Hen. 3,Hen3,4,1219-10-28,1220-10-27
Hen3/40,40 Hen. 3,Hen3,40,1255-10-28,1256-10-27
Hen3/41,41 Hen. 3,Hen3,41,1256-10-28,1257-10-27
Hen3/42,42 Hen. 3,Hen3,42,1257-10-28,1258-10-27
Hen3/43,43 Hen. 3,Hen3,43,1258-10-28,1259-10-27
Hen3/44,44 Hen. 3,Hen3,44,1259-10-28,1260-10-27
Hen3/45,45 Hen. 3,Hen3,45,1260-10-28,1261-10-27
Hen3/46,46 Hen. 3,Hen3,46,1261-10-28,1262-10-27
Hen3/47,47 Hen. 3,Hen3,47,1262-10-28,1263-10-27
Hen3/48,48 Hen. 3,Hen3,48,1263-10-28,1264-10-27
Hen3/49,49 Hen. 3,Hen3,49,1264-10-28,1265-10-27
Hen3/5,5 Hen. 3,Hen3,5,1220-10-28,1221-10-27
Hen3/50,50 Hen. 3,Hen3,50,1265-10-28,1266-10-27
Hen3/51,51 Hen. 3,Hen3,51,1266-10-28,1267-10-27
Hen3/52,52 Hen. 3,Hen3,52,1267-10-28,1268-10-27
Hen3/53,53 Hen. 3,Hen3,53,1268-10-28,1269-10-27
Hen3/54,54 Hen. 3,Hen3,54,1269-10-28,1270-10-27
Hen3/55,55 Hen. 3,Hen3,55,1270-10-28,1271-10-27
Hen3/56,56 Hen. 3,Hen3,56,1271-10-28,1272-10-27
Hen3/57,57 Hen. 3,Hen3,57,1272-10-28,1272-11-16
Hen3/6,6 Hen. 3,Hen3,6,1221-10-28,1222-10-27
Hen3/7,7 Hen. 3,Hen3,7,1222-10-28,1223-10-27
Hen3/8,8 Hen. 3,Hen3,8,1223-10-28,1224-10-27
Hen3/9,9 Hen. 3,Hen3,9,1224-10-28,1225-10-27
Hen4/1,1 Hen. 4,Hen4,1,1399-09-30,1400-09-29
Hen4/10,10 Hen. 4,Hen4,10,1408-09-30,1409-09-29
Hen4/11,11 Hen. 4,Hen4,11,1409-09-30,1410-09-29
Hen4/12,12 Hen. 4,Hen4,12,1410-09-30,1411-09-29
Hen4/13,13 Hen. 4,Hen4,13,1411-09-30,1412-09-29
Hen4/14,14 Hen. 4,Hen4,14,1412-09-30,1413-03-20
Hen4/2,2 Hen. 4,Hen4,2,1400-09-30,1401-09-29
Hen4/3,3 Hen. 4,Hen4,3,1401-09-30,1402-09-29
Hen4/4,4 Hen. 4,Hen4,4,1402-09-30,1403-09-29
Hen4/5,5 Hen. 4,Hen4,5,1403-09-30,1404-09-29
Hen4/6,6 Hen. 4,Hen4,6,1404-09-30,1405-09-29
Hen4/7,7 Hen. 4,Hen4,7,1405-09-30,1406-09-29
Hen4/8,8 Hen. 4,Hen4,8,1406-09-30,1407-09-29
Hen4/9,9 Hen. 4,Hen4,9,1407-09-30,1408-09-29
Hen5/1,1 Hen. 5,Hen5,1,1413-03-21,1414-03-20
Hen5/10,10 Hen. 5,Hen5,10,1422-03-21,1422-08-31
Hen5/2,2 Hen. 5,Hen5,2,1414-03-21,1415-03-20
Hen5/3,3 Hen. 5,Hen5,3,1415-03-21,1416-03-20
Hen5/4,4 Hen. 5,Hen5,4,1416-03-21,1417-03-20
Hen5/5,5 Hen. 5,Hen5,5,1417-03-21,1418-03-20
Hen5/6,6 Hen. 5,Hen5,6,1418-03-21,1419-03-20
Hen5/7,7 Hen. 5,Hen5,7,1419-03-21,1420-03-20
Hen5/8,8 Hen. 5,Hen5,8,1420-03-21,1421-03-20
Hen5/9,9 Hen. 5,Hen5,9,1421-03-21,1422-03-20
Hen6/1,1 Hen. 6,Hen6,1,1422-09-01,1423-08-31
Hen6/10,10 Hen. 6,Hen6,10,1431-09-01,1432-08-31
Hen6/11,11 Hen. 6,Hen6,11,1432-09-01,1433-08-31
Hen6/12,12 Hen. 6,Hen6,12,1433-09-01,1434-08-31
Hen6/13,13 Hen. 6,Hen6,13,1434-09-01,1435-08-31
Hen6/14,14 Hen. 6,Hen6,14,1435-09-01,1436-08-31
Hen6/15,15 Hen. 6,Hen6,15,1436-09-01,1437-08-31
Hen6/16,16 Hen. 6,Hen6,16,1437-09-01,1438-08-31
Hen6/17,17 Hen. 6,Hen6,17,1438-09-01,1439-08-31
Hen6/18,18 Hen. 6,Hen6,18,1439-09-01,1440-08-31
Hen6/19,19 Hen. 6,Hen6,19,1440-09-01,1441-08-31
Hen6/2,2 Hen. 6,Hen6,2,1423-09-01,1424-08-31
Hen6/20,20 Hen. 6,Hen6,20,1441-09-01,1442-08-31
Hen6/21,21 Hen. 6,Hen6,21,1442-09-01,1443-08-31
Hen6/22,22 Hen. 6,Hen6,22,1443-09-01,1444-08-31
Hen6/23,23 Hen. 6,Hen6,23,1444-09-01,1445-08-31
Hen6/24,24 Hen. 6,Hen6,24,1445-09-01,1446-08-31
Hen6/25,25 Hen. 6,Hen6,25,1446-09-01,1447-08-31
Hen6/26,26 Hen. 6,Hen6,26,1447-09-01,1448-08-31
Hen6/27,27 Hen. 6,Hen6,27,1448-09-01,1449-08-31
Hen6/28,28 Hen. 6,Hen6,28,1449-09-01,1450-08-31
Hen6/29,29 Hen. 6,Hen6,29,1450-09-01,1451-08-31
Hen6/3,3 Hen. 6,Hen6,3,1424-09-01,1425-08-31
Hen6/30,30 Hen. 6,Hen6,30,1451-09-01,1452-08-31
Hen6/31,31 Hen. 6,Hen6,31,1452-09-01,1453-08-31
Hen6/32,32 Hen. 6,Hen6,32,1453-09-01,1454-08-31
Hen6/33,33 Hen. 6,Hen6,33,1454-09-01,1455-08-31
Hen6/34,34 Hen. 6,Hen6,34,1455-09-01,1456-08-31
Hen6/35,35 Hen. 6,Hen6,35,1456-09-01,1457-08-31
Hen6/36,36 Hen. 6,Hen6,36,1457-09-01,1458-08-31
Hen6/37,37 Hen. 6,Hen6,37,1458-09-01,1459-08-31
Hen6/38,38 Hen. 6,Hen6,38,1459-09-01,1460-08-31
Hen6/39,39 Hen. 6,Hen6,39,1460-09-01,1461-03-04
Hen6/4,4 Hen. 6,Hen6,4,1425-09-01,1426-08-31
Hen6/5,5 Hen. 6,Hen6,5,1426-09-01,1427-08-31
Hen6/6,6 Hen. 6,Hen6,6,1427-09-01,1428-08-31
Hen6/7,7 Hen. 6,Hen6,7,1428-09-01,1429-08-31
Hen6/8,8 Hen. 6,Hen6,8,1429-09-01,1430-08-31
Hen6/9,9 Hen. 6,Hen6,9,1430-09-01,1431-08-31
Hen7/1,1 Hen. 7,Hen7,1,1485-08-22,1486-08-21
Hen7/10,10 Hen. 7,Hen7,10,1494-08-22,1495-08-21
Hen7/11,11 Hen. 7,Hen7,11,1495-08-22,1496-08-21
Hen7/12,12 Hen. 7,Hen7,12,1496-08-22,1497-08-21
Hen7/13,13 Hen. 7,Hen7,13,1497-08-22,1498-08-21
Hen7/14,14 Hen. 7,Hen7,14,1498-08-22,1499-08-21
Hen7/15,15 Hen. 7,Hen7,15,1499-08-22,1500-08-21
Hen7/16,16 Hen. 7,Hen7,16,1500-08-22,1501-08-21
Hen7/17,17 Hen. 7,Hen7,17,1501-08-22,1502-08-21
Hen7/18,18 Hen. 7,Hen7,18,1502-08-22,1503-08-21
Hen7/19,19 Hen. 7,Hen7,19,1503-08-22,1504-08-21
Hen7/2,2 Hen. 7,Hen7,2,1486-08-22,1487-08-21
Hen7/20,20 Hen. 7,Hen7,20,1504-08-22,1505-08-21
Hen7/21,21 Hen. 7,Hen7,21,1505-08-22,1506-08-21
Hen7/22,22 Hen. 7,Hen7,22,1506-08-22,1507-08-21
Hen7/23,23 Hen. 7,Hen7,23,1507-08-22,1508-08-21
Hen7/24,24 Hen. 7,Hen7,24,1508-08-22,1509-04-21
Hen7/3,3 Hen. 7,Hen7,3,1487-08-22,1488-08-21
Hen7/4,4 Hen. 7,Hen7,4,1488-08-22,1489-08-21
Hen7/5,5 Hen. 7,Hen7,5,1489-08-22,1490-08-21
Hen7/6,6 Hen. 7,Hen7,6,1490-08-22,1491-08-21
Hen7/7,7 Hen. 7,Hen7,7,1491-08-22,1492-08-21
Hen7/8,8 Hen. 7,Hen7,8,1492-08-22,1493-08-21
Hen7/9,9 Hen. 7,Hen7,9,1493-08-22,1494-08-21
Hen8/1,1 Hen. 8,Hen8,1,1509-04-22,1510-04-21
Hen8/10,10 Hen. 8,Hen8,10,1518-04-22,1519-04-21
Hen8/11,11 Hen. 8,Hen8,11,1519-04-22,1520-04-21
Hen8/12,12 Hen. 8,Hen8,12,1520-04-22,1521-04-21
Hen8/13,13 Hen. 8,Hen8,13,1521-04-22,1522-04-21
Hen8/14,14 Hen. 8,Hen8,14,1522-04-22,1523-04-21
Hen8/15,15 Hen. 8,Hen8,15,1523-04-22,1524-04-21
Hen8/16,16 Hen. 8,Hen8,16,1524-04-22,1525-04-21
Hen8/17,17 Hen. 8,Hen8,17,1525-04-22,1526-04-21
Hen8/18,18 Hen. 8,Hen8,18,1526-04-22,1527-04-21
Hen8/19,19 Hen. 8,Hen8,19,1527-04-22,1528-04-21
Hen8/2,2 Hen. 8,Hen8,2,1510-04-22,1511-04-21
Hen8/20,20 Hen. 8,Hen8,20,1528-04-22,1529-04-21
Hen8/21,21 Hen. 8,Hen8,21,1529-04-22,1530-04-21
Hen8/22,22 Hen. 8,Hen8,22,1530-04-22,1531-04-21
Hen8/23,23 Hen. 8,Hen8,23,1531-04-22,1532-04-21
Hen8/24,24 Hen. 8,Hen8,24,1532-04-22,1533-04-21
Hen8/25,25 Hen. 8,Hen8,25,1533-04-22,1534-04-21
Hen8/26,26 Hen. 8,Hen8,26,1534-04-22,1535-04-21
Hen8/27,27 Hen. 8,Hen8,27,1535-04-22,1536-04-21
Hen8/28,28 Hen. 8,Hen8,28,1536-04-22,1537-04-21
Hen8/29,29 Hen. 8,Hen8,29,1537-04-22,1538-04-21
Hen8/3,3 Hen. 8,Hen8,3,1511-04-22,1512-04-21
Hen8/30,30 Hen. 8,Hen8,30,1538-04-22,1539-04-21
Hen8/31,31 Hen. 8,Hen8,31,1539-04-22,1540-04-21
Hen8/32,32 Hen. 8,Hen8,32,1540-04-22,1541-04-21
Hen8/33,33 Hen. 8,Hen8,33,1541-04-22,1542-04-21
Hen8/34,34 Hen. 8,Hen8,34,1542-04-22,1543-04-21
Hen8/35,35 Hen. 8,Hen8,35,1543-04-22,1544-04-21
Hen8/36,36 Hen. 8,Hen8,36,1544-04-22,1545-04-21
Hen8/37,37 Hen. 8,Hen8,37,1545-04-22,1546-04-21
Hen8/38,38 Hen. 8,Hen8,38,1546-04-22,1547-01-28
Hen8/4,4 Hen. 8,Hen8,4,1512-04-22,1513-04-21
Hen8/5,5 Hen. 8,Hen8,5,1513-04-22,1514-04-21
Hen8/6,6 Hen. 8,Hen8,6,1514-04-22,1515-04-21
Hen8/7,7 Hen. 8,Hen8,7,1515-04-22,1516-04-21
Hen8/8,8 Hen. 8,Hen8,8,1516-04-22,1517-04-21
Hen8/9,9 Hen. 8,Hen8,9,1517-04-22,1518-04-21
Ja1/1,1 Ja. 1,Ja1,1,1603-03-24,1604-03-23
Ja1/10,10 Ja. 1,Ja1,10,1612-03-24,1613-03-23
Ja1/11,11 Ja. 1,Ja1,11,1613-03-24,1614-03-23
Ja1/12,12 Ja. 1,Ja1,12,1614-03-24,1615-03-23
Ja1/13,13 Ja. 1,Ja1,13,1615-03-24,1616-03-23
Ja1/14,14 Ja. 1,Ja1,14,1616-03-24,1617-03-23
Ja1/15,15 Ja. 1,Ja1,15,1617-03-24,1618-03-23
Ja1/16,16 Ja. 1,Ja1,16,1618-03-24,1619-03-23
Ja1/17,17 Ja. 1,Ja1,17,1619-03-24,1620-03-23
Ja1/18,18 Ja. 1,Ja1,18,1620-03-24,1621-03-23
Ja1/19,19 Ja. 1,Ja1,19,1621-03-24,1622-03-23
Ja1/2,2 Ja. 1,Ja1,2,1604-03-24,1605-03-23
Ja1/20,20 Ja. 1,Ja1,20,1622-03-24,1623-03-23
Ja1/21,21 Ja. 1,Ja1,21,1623-03-24,1624-03-23
Ja1/22,22 Ja. 1,Ja1,22,1624-03-24,1625-03-23
Ja1/23,23 Ja. 1,Ja1,23,1625-03-24,1625-03-27
Ja1/3,3 Ja. 1,Ja1,3,1605-03-24,1606-03-23
Ja1/4,4 Ja. 1,Ja1,4,1606-03-24,1607-03-23
Ja1/5,5 Ja. 1,Ja1,5,1607-03-24,1608-03-23
Ja1/6,6 Ja. 1,Ja1,6,1608-03-24,1609-03-23
Ja1/7,7 Ja. 1,Ja1,7,1609-03-24,1610-03-23
Ja1/8,8 Ja. 1,Ja1,8,1610-03-24,1611-03-23
Ja1/9,9 Ja. 1,Ja1,9,1611-03-24,1612-03-23
Ja2/1,1 Ja. 2,Ja2,1,1685-02-06,1686-02-05
Ja2/2,2 Ja. 2,Ja2,2,1686-02-06,1687-02-05
Ja2/3,3 Ja. 2,Ja2,3,1687-02-06,1688-02-05
Ja2/4,4 Ja. 2,Ja2,4,1688-02-06,1688-12-11
1-Mar,1 Mar.,Mar,1,,
Mary/1,1 Mary.,Mary,1,1553-07-06,1554-07-05
Mary/2,2 Mary.,Mary,2,1554-07-06,1554-07-24
PhandMar/1,1 Ph. & Mar.,PhandMar,1,1554-07-25,1555-07-24
PhandMar/2,2 Ph. & Mar.,PhandMar,2,1555-07-25,1556-07-24
PhandMar/3,3 Ph. & Mar.,PhandMar,3,1556-07-25,1557-07-24
PhandMar/4,4 Ph. & Mar.,PhandMar,4,1557-07-25,1558-07-24
PhandMar/5,5 Ph. & Mar.,PhandMar,5,1558-07-25,1558-11-17
Ric2/1,1 Ric. 2,Ric2,1,1377-06-22,1378-06-21
Ric2/10,10 Ric. 2,Ric2,10,1386-06-22,1387-06-21
Ric2/11,11 Ric. 2,Ric2,11,1387-06-22,1388-06-21
Ric2/12,12 Ric. 2,Ric2,12,1388-06-22,1389-06-21
Ric2/13,13 Ric. 2,Ric2,13,1389-06-22,1390-06-21
Ric2/14,14 Ric. 2,Ric2,14,1390-06-22,1391-06-21
Ric2/15,15 Ric. 2,Ric2,15,1391-06-22,1392-06-21
Ric2/16,16 Ric. 2,Ric2,16,1392-06-22,1393-06-21
Ric2/17,17 Ric. 2,Ric2,17,1393-06-22,1394-06-21
Ric2/18,18 Ric. 2,Ric2,18,1394-06-22,1395-06-21
Ric2/19,19 Ric. 2,Ric2,19,1395-06-22,1396-06-21
Ric2/2,2 Ric. 2,Ric2,2,1378-06-22,1379-06-21
Ric2/20,20 Ric. 2,Ric2,20,1396-06-22,1397-06-21
Ric2/21,21 Ric. 2,Ric2,21,1397-06-22,1398-06-21
Ric2/22,22 Ric. 2,Ric2,22,1398-06-22,1399-06-21
Ric2/23,23 Ric. 2,Ric2,23,1399-06-22,1399-09-29
Ric2/3,3 Ric. 2,Ric2,3,1379-06-22,1380-06-21
Ric2/4,4 Ric. 2,Ric2,4,1380-06-22,1381-06-21
Ric2/5,5 Ric. 2,Ric2,5,1381-06-22,1382-06-21
Ric2/6,6 Ric. 2,Ric2,6,1382-06-22,1383-06-21
Ric2/7,7 Ric. 2,Ric2,7,1383-06-22,1384-06-21
Ric2/8,8 Ric. 2,Ric2,8,1384-06-22,1385-06-21
Ric2/9,9 Ric. 2,Ric2,9,1385-06-22,1386-06-21
Ric3/1,1 Ric. 3,Ric3,1,1483-06-26,1484-06-25
Ric3/2,2 Ric. 3,Ric3,2,1484-06-26,1485-06-25
Ric3/3,3 Ric. 3,Ric3,3,1485-06-26,1485-08-22
Vict/1,1 Vict.,Vict,1,1837-06-20,1838-06-19
Vict/10,10 Vict.,Vict,10,1846-06-20,1847-06-19
Vict/11,11 Vict.,Vict,11,1847-06-20,1848-06-19
Vict/12,12 Vict.,Vict,12,1848-06-20,1849-06-19
Vict/13,13 Vict.,Vict,13,1849-06-20,1850-06-19
Vict/14,14 Vict.,Vict,14,1850-06-20,1851-06-19
Vict/15,15 Vict.,Vict,15,1851-06-20,1852-06-19
Vict/16,16 Vict.,Vict,16,1852-06-20,1853-06-19
Vict/17,17 Vict.,Vict,17,1853-06-20,1854-06-19
Vict/18,18 Vict.,Vict,18,1854-06-20,1855-06-19
Vict/19,19 Vict.,Vict,19,1855-06-20,1856-06-19
Vict/2,2 Vict.,Vict,2,1838-06-20,1839-06-19
Vict/20,20 Vict.,Vict,20,1856-06-20,1857-06-19
Vict/21,21 Vict.,Vict,21,1857-06-20,1858-06-19
Vict/22,22 Vict.,Vict,22,1858-06-20,1859-06-19
Vict/23,23 Vict.,Vict,23,1859-06-20,1860-06-19
Vict/24,24 Vict.,Vict,24,1860-06-20,1861-06-19
Vict/25,25 Vict.,Vict,25,1861-06-20,1862-06-19
Vict/26,26 Vict.,Vict,26,1862-06-20,1863-06-19
Vict/27,27 Vict.,Vict,27,1863-06-20,1864-06-19
Vict/28,28 Vict.,Vict,28,1864-06-20,1865-06-19
Vict/29,29 Vict.,Vict,29,1865-06-20,1866-06-19
Vict/3,3 Vict.,Vict,3,1839-06-20,1840-06-19
Vict/30,30 Vict.,Vict,30,1866-06-20,1867-06-19
Vict/31,31 Vict.,Vict,31,1867-06-20,1868-06-19
Vict/32,32 Vict.,Vict,32,1868-06-20,1869-06-19
Vict/33,33 Vict.,Vict,33,1869-06-20,1870-06-19
Vict/34,34 Vict.,Vict,34,1870-06-20,1871-06-19
Vict/35,35 Vict.,Vict,35,1871-06-20,1872-06-19
Vict/36,36 Vict.,Vict,36,1872-06-20,1873-06-19
Vict/37,37 Vict.,Vict,37,1873-06-20,1874-06-19
Vict/38,38 Vict.,Vict,38,1874-06-20,1875-06-19
Vict/39,39 Vict.,Vict,39,1875-06-20,1876-06-19
Vict/4,4 Vict.,Vict,4,1840-06-20,1841-06-19
Vict/40,40 Vict.,Vict,40,1876-06-20,1877-06-19
Vict/41,41 Vict.,Vict,41,1877-06-20,1878-06-19
Vict/42,42 Vict.,Vict,42,1878-06-20,1879-06-19
Vict/43,43 Vict.,Vict,43,1879-06-20,1880-06-19
Vict/44,44 Vict.,Vict,44,1880-06-20,1881-06-19
Vict/45,45 Vict.,Vict,45,1881-06-20,1882-06-19
Vict/46,46 Vict.,Vict,46,1882-06-20,1883-06-19
Vict/47,47 Vict.,Vict,47,1883-06-20,1884-06-19
Vict/48,48 Vict.,Vict,48,1884-06-20,1885-06-19
Vict/49,49 Vict.,Vict,49,1885-06-20,1886-06-19
Vict/5,5 Vict.,Vict,5,1841-06-20,1842-06-19
Vict/50,50 Vict.,Vict,50,1886-06-20,1887-06-19
Vict/51,51 Vict.,Vict,51,1887-06-20,1888-06-19
Vict/52,52 Vict.,Vict,52,1888-06-20,1889-06-19
Vict/53,53 Vict.,Vict,53,1889-06-20,1890-06-19
Vict/54,54 Vict.,Vict,54,1890-06-20,1891-06-19
Vict/55,55 Vict.,Vict,55,1891-06-20,1892-06-19
Vict/56,56 Vict.,Vict,56,1892-06-20,1893-06-19
Vict/57,57 Vict.,Vict,57,1893-06-20,1894-06-19
Vict/58,58 Vict.,Vict,58,1894-06-20,1895-06-19
Vict/59,59 Vict.,Vict,59,1895-06-20,1896-06-19
Vict/6,6 Vict.,Vict,6,1842-06-20,1843-06-19
Vict/60,60 Vict.,Vict,60,1896-06-20,1897-06-19
Vict/61,61 Vict.,Vict,61,1897-06-20,1898-06-19
Vict/62,62 Vict.,Vict,62,1898-06-20,1899-06-19
Vict/63,63 Vict.,Vict,63,1899-06-20,1900-06-19
Vict/64,64 Vict.,Vict,64,1900-06-20,1901-01-22
Vict/7,7 Vict.,Vict,7,1843-06-20,1844-06-19
Vict/8,8 Vict.,Vict,8,1844-06-20,1845-06-19
Vict/9,9 Vict.,Vict,9,1845-06-20,1846-06-19
Will3/10,10 Will. 3,Will3,10,1697-12-28,1698-12-27
Will3/11,11 Will. 3,Will3,11,1698-12-28,1699-12-27
Will3/12,12 Will. 3,Will3,12,1699-12-28,1700-12-27
Will3/13,13 Will. 3,Will3,13,1700-12-28,1701-12-27
Will3/14,14 Will. 3,Will3,14,1701-12-28,1702-03-08
Will3/7,7 Will. 3,Will3,7,1694-12-28,1695-12-27
Will3/8,8 Will. 3,Will3,8,1695-12-28,1696-12-27
Will3/9,9 Will. 3,Will3,9,1696-12-28,1697-12-27
Will4/1,1 Will. 4,Will4,1,1830-06-26,1831-06-25
Will4/2,2 Will. 4,Will4,2,1831-06-26,1832-06-25
Will4/3,3 Will. 4,Will4,3,1832-06-26,1833-06-25
Will4/4,4 Will. 4,Will4,4,1833-06-26,1834-06-25
Will4/5,5 Will. 4,Will4,5,1834-06-26,1835-06-25
Will4/6,6 Will. 4,Will4,6,1835-06-26,1836-06-25
Will4/7,7 Will. 4,Will4,7,1836-06-26,1837-06-20
WillandMar/1,1 Will. & Mar.,WillandMar,1,1689-02-13,1690-02-12
WillandMar/2,2 Will. & Mar.,WillandMar,2,1690-02-13,1691-02-12
WillandMar/3,3 Will. & Mar.,WillandMar,3,1691-02-13,1692-02-12
WillandMar/4,4 Will. & Mar.,WillandMar,4,1692-02-13,1693-02-12
WillandMar/5,5 Will. & Mar.,WillandMar,5,1693-02-13,1694-02-12
WillandMar/6,6 Will. & Mar.,WillandMar,6,1694-02-13,1694-12-27
WillandMar/7,7 Will. & Mar.,WillandMar,7,,
